File Name;Binding Energy;PDBQT Path;;Водородная связь;Солевой мостик;Пи-пи взяимодействие;Т-взаимодействие;Катион-пи вз-е;Галогеновое вз-е
ligand_216_receptor.dpf.dlg;28,68;;;;;;;;
ligand_331_receptor.dpf.dlg;29,92;;;;;;;;
ligand_497_receptor.dpf.dlg;31,11;;;;;;;;
ligand_275_receptor.dpf.dlg;32,47;;;;;;;;
ligand_346_receptor.dpf.dlg;32,56;;;;;;;;
ligand_482_receptor.dpf.dlg;32,87;;;;;;;;
ligand_24_receptor.dpf.dlg;35,78;;;;;;;;
ligand_522_receptor.dpf.dlg;37,86;;;;;;;;
ligand_147_receptor.dpf.dlg;38,28;;;;;;;;
ligand_526_receptor.dpf.dlg;41,66;;;;;;;;
ligand_446_receptor.dpf.dlg;42,12;;;;;;;;
ligand_124_receptor.dpf.dlg;43,88;;;;;;;;
ligand_447_receptor.dpf.dlg;45,97;;;;;;;;
ligand_311_receptor.dpf.dlg;46,45;;;;;;;;
ligand_384_receptor.dpf.dlg;47,72;;;;;;;;
ligand_113_receptor.dpf.dlg;50,95;;;;;;;;
ligand_332_receptor.dpf.dlg;51,01;;;;;;;;
ligand_228_receptor.dpf.dlg;52,39;;;;;;;;
ligand_502_receptor.dpf.dlg;53,54;;;;;;;;
ligand_535_receptor.dpf.dlg;55,33;;;;;;;;
ligand_55_receptor.dpf.dlg;55,95;;;;;;;;
ligand_344_receptor.dpf.dlg;56,91;;;;;;;;
ligand_114_receptor.dpf.dlg;60,13;;;;;;;;
ligand_215_receptor.dpf.dlg;62,11;;;;;;;;
ligand_506_receptor.dpf.dlg;62,59;;;;;;;;
ligand_47_receptor.dpf.dlg;63,15;;;;;;;;
ligand_470_receptor.dpf.dlg;64,64;;;;;;;;
ligand_369_receptor.dpf.dlg;68,26;;;;;;;;
ligand_214_receptor.dpf.dlg;69,21;;;;;;;;
ligand_277_receptor.dpf.dlg;70,13;;;;;;;;
ligand_406_receptor.dpf.dlg;71,39;;;;;;;;
ligand_459_receptor.dpf.dlg;74,14;;;;;;;;
ligand_259_receptor.dpf.dlg;74,43;;;;;;;;
ligand_220_receptor.dpf.dlg;85,56;;;;;;;;
ligand_252_receptor.dpf.dlg;85,99;;;;;;;;
